"PU","NAME","WGMS_ID","SURVEY_DATE","REFERENCE_DATE","AREA","ANNUAL_BALANCE","ANNUAL_BALANCE_UNC","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"SJ","FINSTERWALDERBREEN",3486,19639999.0000000,19629999.0000000,,-100,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-200 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19649999.0000000,19639999.0000000,,-100,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-200 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19659999.0000000,19649999.0000000,,-400,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-800 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19669999.0000000,19659999.0000000,,-400,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-800 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19679999.0000000,19669999.0000000,,-550,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-1100 mm w.e.) evenly distributed to corresponding years."
"SJ","FINSTERWALDERBREEN",3486,19689999.0000000,19679999.0000000,,-550,,,,"Data from Cogley (2008, updated 2013) based on: Hagen et al. (1990); Ann Glaciol, 14, 102-106 p.","Multi-annual observation (-1100 mm w.e.) evenly distributed to corresponding years."
"SJ","FRIDTJOVBREEN",3494,19879999.0000000,19869999.0000000,,-170,,,,"Data from Cogley (2008, updated 2013) based on: Dyurgerov (2002): Glacier mass balance and regime: data of measurements and analysis. Hagen et al. (1993); Glacier Atlas of Svalbard and Jan Mayen, 141 p.",
"SJ","FRIDTJOVBREEN",3494,19889999.0000000,19879999.0000000,,-370,,,,"Data from Cogley (2008, updated 2013) based on: Dyurgerov (2002): Glacier mass balance and regime: data of measurements and analysis. Hagen et al. (1993); Glacier Atlas of Svalbard and Jan Mayen, 141 p.",
"SJ","FRIDTJOVBREEN",3494,19899999.0000000,19889999.0000000,,-330,,,,"Data from Cogley (2008, updated 2013) based on: Dyurgerov (2002): Glacier mass balance and regime: data of measurements and analysis. Hagen et al. (1993); Glacier Atlas of Svalbard and Jan Mayen, 141 p.",
"SJ","FRIDTJOVBREEN",3494,19909999.0000000,19899999.0000000,,-410,,,,"Data from Cogley (2008, updated 2013) based on: Dyurgerov (2002): Glacier mass balance and regime: data of measurements and analysis. Hagen et al. (1993); Glacier Atlas of Svalbard and Jan Mayen, 141 p.",
"SJ","FRIDTJOVBREEN",3494,19919999.0000000,19909999.0000000,,50,,,,"Data from Cogley (2008, updated 2013) based on: Dyurgerov (2002): Glacier mass balance and regime: data of measurements and analysis. Hagen et al. (1993); Glacier Atlas of Svalbard and Jan Mayen, 141 p.",
